# TF	Target	Type	Reference
ESR2	AVP	Unknown	11089536
ESR2	BRCA2	Repression	18765668
ESR2	CD68	Unknown	11517296
ESR2	CDKN1A	Activation	11517191
ESR2	CHAT	Unknown	10037443
ESR2	CRH	Repression	12161509
ESR2	CTSD	Unknown	10037443
ESR2	FOS	Unknown	10037443
ESR2	INSR	Repression	22099628
ESR2	JUN	Unknown	10037443
ESR2	MKNK2	Unknown	11013076
ESR2	OXT	Unknown	10411324
ESR2	PELP1	Unknown	15087130
ESR2	PTPRC	Unknown	11517296
ESR2	SERPINE1	Repression	15217907
ESR2	TERT	Unknown	12122114
ESR2	TFF1	Activation	11517191
ESR2	TFF1	Unknown	10037443
ESR2	TGFA	Activation	11517191
ESR2	VEGFA	Unknown	10995484
